StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q2,Q4,Q6,Q7,Q8,Q9,Q9_14_TEXT,Q10,Q11,Q12,Q13,Q14,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q16,Q17,Q18,Q20_1,Q21,Q22,Q23,Q24,Q25_1,Q26,Q27,Q28,Q29,Q24 - Parent Topics,Q24 - Topics,Q9_14_TEXT - Parent Topics,Q9_14_TEXT - Topics,Q_UnansweredPercentage,Q_UnansweredQuestions,Q24 - Topic Hierarchy Level 1,Q9_14_TEXT - Topic Hierarchy Level 1
2025-03-28 10:46:46,2025-03-28 10:54:43,IP Address,86.204.252.175,100,477,True,2025-03-28 10:54:43,R_2mg8wi0m93yRDlS,,,,,44.8858,-0.2864,anonymous,EN,1,,Yes,45 - 54,France,Bachelor’s degree,Suburban,Healthcare,,Somewhat knowledgeable,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",800 million,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,6,2,4,3,5,Somewhat,"Social media,News websites",Yes,9,Yes,Maybe,Maybe,,9,"Educational information,Forums for public discussion,Personalized content (AI-agent)",Maybe,Maybe,"Concern for future generations,Health and Safety,Community involvement",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-28 10:53:52,2025-03-28 11:02:36,IP Address,200.68.159.201,100,523,True,2025-03-28 11:02:37,R_7DXmPEON78s2G41,,,,,19.3837,-99.1757,anonymous,EN,0.8999999761581421,,Yes,45 - 54,Mexico,Master’s degree or higher,Urban,Healthcare,,Somewhat knowledgeable,"Yes, very serious","Yes, I am very aware of the city’s water quality and management",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",3,5,2,4,6,1,Somewhat,Social media,No,7,Yes,Maybe,"Yes, definitely",,6,"Educational information,Forums for public discussion,Tools to report or monitor water issues locally",Maybe,Maybe,Concern for future generations,,,,,0.07692307692307693,"QID1,QID24",,
2025-03-28 11:16:41,2025-03-28 11:21:18,IP Address,77.248.15.72,100,277,True,2025-03-28 11:21:18,R_2i8yu3Rb90KcBPX,,,,,52.3796,4.8778,anonymous,EN,0.800000011920929,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,,Not very knowledgeable,Somewhat serious,"Yes, I am slightly aware.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,4,3,5,6,1,Somewhat,"Social media,Word of mouth,I don’t usually seek out this information",No,6,No,Maybe,"Yes, definitely",I guess what I can do to help water quality? Because all I see is how the government is taking steps to ensure quality or how the quality has worsend I want to know how I can help :),7,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Maybe,No,"Concern for future generations,Health and Safety,Global Climate Change",,Unknown,,,0.038461538461538464,QID1,,
2025-03-28 11:10:26,2025-03-28 11:26:31,IP Address,172.56.163.147,100,964,True,2025-03-28 11:26:31,R_5ZKEvun6LZEOv4d,,,,,40.7035,-73.9235,anonymous,EN,0.8999999761581421,,Yes,55 - 64,United States of America,Secondary education,Urban,"Other, please specify...","Housing, real estate sales",Somewhat knowledgeable,"Yes, very serious","Yes, I am very aware of the city’s water quality and management",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,3,1,4,6,5,A lot,"Social media,News websites,TV/radio,Word of mouth",Yes,10,Yes,Yes,"Yes, definitely","Conservation, ways to volunteer, how to spread information, community outreach",7,"Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Resources on initiatives you can implement yourself",Maybe,Maybe,"Concern for future generations,Local impact,Global Climate Change",,Unknown,,Unknown,0.038461538461538464,QID1,,
2025-03-28 11:42:20,2025-03-28 11:47:26,IP Address,202.239.255.102,100,305,True,2025-03-28 11:47:27,R_7FgmxSjYjjBPqxR,,,,,35.69,139.69,anonymous,EN,0.8999999761581421,,Yes,45 - 54,Mexico,Master’s degree or higher,Urban,Education,,Somewhat knowledgeable,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",1.5 billion,It can lead to waterborne disease such as cholera and dysentery.,1,2,3,4,6,5,Somewhat,"News websites,Educational platforms",No,8,No,Maybe,"Yes, definitely","Home filters ",9,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Resources on initiatives you can implement yourself",Maybe,Maybe,"Concern for future generations,Health and Safety",,Unknown,,,0.038461538461538464,QID1,,
2025-03-28 11:52:25,2025-03-28 12:01:48,IP Address,172.225.155.61,100,562,True,2025-03-28 12:01:48,R_5hgZjVWj5jk5Dpu,,,,,19.4324,-99.1229,anonymous,EN,0.8999999761581421,,Yes,45 - 54,Mexico,Master’s degree or higher,Suburban,Student,,Neutral,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",800 million,It can lead to waterborne disease such as cholera and dysentery.,2,1,3,5,6,4,Somewhat,I don’t usually seek out this information,Yes,7,No,Maybe,Maybe,,,"Educational information,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally",No,Maybe,"Concern for future generations,Health and Safety",,,,,0.11538461538461539,"QID1,QID24,QID25",,
2025-03-28 11:58:52,2025-03-28 12:08:33,IP Address,187.207.40.75,100,580,True,2025-03-28 12:08:33,R_11JVP2J4wGdWJtn,,,,,19.3239,-99.1754,anonymous,EN,0.8999999761581421,,Yes,65+,Mexico,Master’s degree or higher,Urban,"Other, please specify...",Human Resourrces,Somewhat knowledgeable,"Yes, very serious","Yes, I am very aware of the city’s water quality and management",4.4 billion,It can disrupt aquatic ecosystems and harm marine life.,1,2,3,6,4,5,Somewhat,"Social media,News websites",No,8,No,Maybe,Maybe,,6,"Educational information,Resources on initiatives you can implement yourself",Maybe,No,"Concern for future generations,Health and Safety,Community involvement",,,,Unknown,0.07692307692307693,"QID1,QID24",,
2025-03-28 13:34:47,2025-03-28 13:39:39,IP Address,189.128.33.84,100,292,True,2025-03-28 13:39:40,R_3zdxvD7ck2Y9bWx,,,,,20.6589,-100.4165,anonymous,EN,1,,Yes,55 - 64,Mexico,Bachelor’s degree,Urban,"Other, please specify...",Home,Very knowledgeable,"Yes, very serious","No, I am aware of nothing related to water in my city.",4.4 billion,It can lead to waterborne disease such as cholera and dysentery.,2,3,4,5,6,1,Very little,Social media,No,4,No,Maybe,Maybe,"How to recycle ",2,Educational information,No,No,"Concern for future generations,Health and Safety",,Unknown,,Unknown,0.038461538461538464,QID1,,
2025-03-28 13:29:25,2025-03-28 13:41:10,IP Address,87.214.54.249,100,704,True,2025-03-28 13:41:10,R_2PFKT8yyGiw9529,,,,,52.3796,4.8778,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,,Neutral,Not very serious,"Yes, I am slightly aware.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",4,2,3,5,6,1,Very little,"Social media,News websites",No,3,No,No,"No, not interested",,4,"Interactive maps,Visualizations of up-to-date water quality data of your city,Resources on initiatives you can implement yourself",Maybe,No,"Health and Safety,Local impact",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-28 10:44:43,2025-03-28 13:50:30,IP Address,187.170.126.100,100,11147,True,2025-03-28 13:50:31,R_7OHp5muQrETLw08,,,,,19.42,-99.1663,anonymous,EN,1,,Yes,45 - 54,Mexico,Master’s degree or higher,Urban,Education,,Not very knowledgeable,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,4,5,3,6,2,Somewhat,Social media,No,8,No,Yes,"Yes, definitely",,8,"Educational information,Forums for public discussion,Resources on initiatives you can implement yourself",Maybe,Maybe,"Concern for future generations,Global Climate Change,Community involvement",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-28 13:51:50,2025-03-28 14:02:37,IP Address,187.207.42.220,100,647,True,2025-03-28 14:02:38,R_7uCFkKPCWcvTTbL,,,,,19.3239,-99.1754,anonymous,EN,0.8999999761581421,,Yes,55 - 64,Mexico,Bachelor’s degree,Urban,Industry,,Somewhat knowledgeable,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",4.4 billion,It can lead to waterborne disease such as cholera and dysentery.,2,3,1,5,6,4,Somewhat,"News websites,TV/radio",No,8,No,Yes,"Yes, definitely",How water is treated and how sources are protected,9,"Forums for public discussion,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally",Maybe,Yes,"Concern for future generations,Health and Safety,Local impact",,Unknown,,,0.038461538461538464,QID1,,
2025-03-28 13:57:29,2025-03-28 14:19:44,IP Address,186.81.59.56,100,1334,True,2025-03-28 14:19:44,R_5e8ozo9UJKrb0nw,,,,,4.5607,-74.0558,anonymous,EN,1,,Yes,55 - 64,Colombia,Bachelor’s degree,Urban,Industry,,Neutral,Somewhat serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",4.4 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,3,2,4,6,5,A lot,"Social media,News websites,TV/radio,Word of mouth",No,10,No,Yes,"Yes, definitely","Conservación fuentes hidricas ",8,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Yes,Yes,"Concern for future generations,Health and Safety,Local impact",,Unknown,,,0.038461538461538464,QID1,,
2025-03-28 14:41:59,2025-03-28 14:51:42,IP Address,104.28.50.21,100,582,True,2025-03-28 14:51:42,R_6oMf2PJViqN61Uc,,,,,19.4324,-99.1229,anonymous,EN,0.699999988079071,,Yes,45 - 54,Mexico,Master’s degree or higher,Urban,"Other, please specify...",Housewife,Somewhat knowledgeable,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",4,2,3,5,6,1,Somewhat,"Social media,News websites,TV/radio,Educational platforms",No,10,No,Yes,"Yes, definitely",,8,"Interactive maps,Educational information,Resources on initiatives you can implement yourself",Maybe,No,"Concern for future generations,Health and Safety",,,,Unknown,0.07692307692307693,"QID1,QID24",,
2025-03-28 14:44:19,2025-03-28 14:56:50,IP Address,86.84.77.91,100,751,True,2025-03-28 14:56:50,R_2LOnoNH0KjNohZg,,,,,52.36,4.8084,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,,Somewhat knowledgeable,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,6,3,4,5,2,Very little,"Social media,News websites",No,8,No,Yes,"Yes, definitely",,9,"Interactive maps,Visualizations of up-to-date water quality data of your city,Personalized content (AI-agent)",No,Maybe,"Concern for future generations,Health and Safety,Local impact,Global Climate Change,Personal interest/hobby,Community involvement",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-28 13:13:56,2025-03-28 14:59:14,IP Address,172.225.155.62,100,6318,True,2025-03-28 14:59:14,R_1psYZuzhKOBHD2B,,,,,19.4324,-99.1229,anonymous,EN,0.8999999761581421,,Yes,45 - 54,United States of America,Bachelor’s degree,Urban,Education,,Neutral,Somewhat serious,"Yes, I am slightly aware.",1.5 billion,It can lead to waterborne disease such as cholera and dysentery.,2,3,5,1,6,4,Somewhat,News websites,No,7,No,No,"No, not interested",,,,,,,,,,,0.2692307692307692,"QID24,QID29,QID28,QID25,QID27,QID1,QID26",,
2025-03-28 15:01:11,2025-03-28 15:09:15,IP Address,93.66.96.42,100,484,True,2025-03-28 15:09:16,R_78G3WWGBwSG2tOu,,,,,45.4722,9.1922,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Italy,Bachelor’s degree,Urban,"Other, please specify...",Fashion,Somewhat knowledgeable,Somewhat serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,5,3,4,6,1,Very little,Social media,No,5,No,Maybe,Maybe,,6,"Interactive maps,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Personalized content (AI-agent)",No,Maybe,"Health and Safety,Local impact,Global Climate Change",,,,Unknown,0.07692307692307693,"QID1,QID24",,
2025-03-28 13:29:28,2025-03-28 15:13:12,IP Address,172.226.124.49,100,6224,True,2025-03-28 15:13:13,R_5nRGNjqvL5VaTIJ,,,,,-23.5475,-46.6361,anonymous,EN,0.699999988079071,,Yes,45 - 54,Brazil,Master’s degree or higher,Urban,"Other, please specify...",Lawyer,Not very knowledgeable,"Yes, very serious","Yes, I am slightly aware.",800 million,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",5,3,6,1,2,4,A lot,"Social media,News websites,TV/radio",Yes,6,No,Yes,"Yes, definitely",,6,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally",Maybe,Maybe,"Concern for future generations,Health and Safety,Global Climate Change",,,,Unknown,0.07692307692307693,"QID1,QID24",,
2025-03-28 15:11:56,2025-03-28 15:15:56,IP Address,84.28.182.200,100,239,True,2025-03-28 15:15:57,R_3fqH8NXCmlg9BpL,,,,,51.5542,5.0661,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,,Not very knowledgeable,Somewhat serious,"No, I am aware of nothing related to water in my city.",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,5,3,4,6,2,Very little,Social media,Yes,7,No,Yes,"Yes, definitely",,6,"Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally",Yes,Maybe,"Health and Safety,Global Climate Change",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-28 15:10:24,2025-03-28 15:16:34,IP Address,176.189.49.3,100,369,True,2025-03-28 15:16:35,R_197SLqRctIU2K2J,,,,,45.9481,6.6385,anonymous,EN,0.8999999761581421,,Yes,35 - 44,France,Master’s degree or higher,Suburban,"Other, please specify...",Lawyer in an international organization.,Somewhat knowledgeable,Not very serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,4,3,6,5,2,Very little,"Social media,News websites",No,8,No,Yes,"Yes, definitely",Best way to filter the water we drink and also how important is the water we use also in the bathroom. How can we improve the use and waste of water .,5,"Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Resources on initiatives you can implement yourself",No,Maybe,"Concern for future generations,Health and Safety",,Unknown,,Unknown,0.038461538461538464,QID1,,
2025-03-28 10:30:19,2025-03-28 15:50:43,IP Address,187.190.189.190,100,19223,True,2025-03-28 15:50:43,R_6dbHUsU0V3Jij3P,,,,,19.3345,-99.1269,anonymous,EN,0.8999999761581421,,Yes,45 - 54,Mexico,Bachelor’s degree,Urban,"Other, please specify...",Housewife,Not knowledgeable at all,"Yes, very serious","No, I am aware of nothing related to water in my city.",4.4 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",3,2,1,4,5,6,Very little,I don’t usually seek out this information,No,10,Yes,No,Maybe,"The process and chemicals ",6,"Interactive maps,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally",Maybe,Maybe,"Health and Safety,Local impact,Global Climate Change",,Unknown,,Unknown,0.038461538461538464,QID1,,
2025-03-28 16:05:47,2025-03-28 16:10:06,IP Address,37.228.207.84,100,259,True,2025-03-28 16:10:07,R_2d4GibFhInum5s7,,,,,53.3066,-6.296,anonymous,EN,1,,Yes,18 - 24,United States of America,Bachelor’s degree,Urban,"Other, please specify...",Art (this should really be on the survey come on guys),Not knowledgeable at all,Somewhat serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,4,3,5,6,2,Not at all,"Social media,News websites,TV/radio,Word of mouth,Educational platforms,I don’t usually seek out this information",No,0,No,Yes,"Yes, definitely","What damages it, how to prevent it and who is most affected by it ",10,"Interactive maps,Personalized content (AI-agent),Resources on initiatives you can implement yourself",Yes,Yes,"Concern for future generations,Health and Safety,Local impact,Global Climate Change,Community involvement",,Unknown,,Unknown,0.038461538461538464,QID1,,
